sku,sku_type,name,status,categories,attribute_set,price,short_description,stone,slab_min_width,slab_max_width,slab_min_depth,slab_max_depth,thickness,has_remnant,remnant_min_width,remnant_max_width,remnant_min_depth,remnant_max_depth,stock_type,lead_time,min_fee,stone_tier,price lookup,price_group,tone,veins,splash_thickness,splash_max_width,edge_thicknesses,edge_min_width,edge_min_depth,sink_material,min_width_single,min_width_double,min_depth_sink,sink_type,sink_width,sink_depth,tax_class_id,store,type,visibility,is_in_stock,weight,price_type,has_options,us_skus,re_skus,image,small_image,thumbnail,media_gallery,video
MSI-ALP-3CM-SLAB,1,Alpine MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Alpine MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-ALP-3CM-SP,,,,,,
MSI-ARC-3CM-SLAB,1,Arctic White MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Arctic White MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-ARC-3CM-SP,,,,,,
MSI-BOL-3CM-SLAB,1,Boletus MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,13.69,Boletus MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,4,4-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-BOL-3CM-SP,,,,,,
MSI-CAN-3CM-SLAB,1,Canvas MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Canvas MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CAN-3CM-SP,,,,,,
MSI-CAC-3CM-SLAB,1,Cascade White MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,13.69,Cascade White MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,4,4-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CAC-3CM-SP,,,,,,
MSI-CAS-3CM-SLAB,1,Cashmere Carrara MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,13.69,Cashmere Carrara MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,4,4-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CAS-3CM-SP,,,,,,
MSI-CON-3CM-SLAB,1,Concerto MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Concerto MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-CON-3CM-SP,,,,,,
MSI-LAG-3CM-SLAB,1,Lagos Azul MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,8.69,Lagos Azul MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,2,2-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-LAG-3CM-SP,,,,,,
MSI-TOA-3CM-SLAB,1,Toasted Almond MSI Quartz Slab in 3 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,11.19,Toasted Almond MSI Quartz,MSI Quartz,20,120,15,25,3 cm,,,,,,In Stock Stone,,,3,3-3 cm,$$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,MSI-TOA-3CM-SP,,,,,,
TRA-MOC-2CM-SLAB,1,Mocha Travertine Slab in 2 cm,enabled,Vanity Tops/Slabs,Vanity Slabs,6.19,Mocha Travertine,Travertine,20,120,15,22,2 cm,,,,,,In Stock Stone,1 Week,,2,2-2 cm,$,,,,,,,,,,,,,,,Taxable Goods,default,simple,"Catalog, Search",1,,1,0,TRA-MOC-2CM-SP,,,,,,
